day,cost_phones,cost_cases,cost_accessories,group
1,48800,2500,0,control
1,41100,1100,0,control
1,48600,0,0,control
1,46300,0,0,control
1,63600,1600,3800,control
1,69500,0,5900,control
1,42400,2500,0,control
1,54800,0,2800,control
1,30300,0,2700,control
1,55700,2000,0,control
1,48900,0,0,control
1,40400,2500,0,control
1,39700,0,0,control
1,24000,0,2200,control
1,36600,2400,2500,control
1,59900,2800,0,control
1,48800,1600,0,control
1,43400,0,0,control
1,49600,0,0,control
1,57100,0,0,control
1,63100,0,0,control
1,40200,0,0,control
1,33800,0,0,control
1,28600,0,0,control
1,63800,0,4500,control
1,49100,0,800,control
1,40700,1800,4700,control
1,15700,3200,0,control
1,37900,0,0,control
1,22100,2900,0,control
1,42100,1900,0,control
1,45100,0,0,control
1,39100,0,2800,control
1,23700,0,0,control
1,11200,1800,0,control
1,81100,0,0,control
1,50800,0,3800,control
1,18800,2300,0,control
1,52700,2100,0,control
1,69800,0,0,control
1,32900,1700,0,control
1,52000,0,4200,control
1,21500,1700,0,control
1,71500,0,3000,control
1,25500,0,2500,control
1,65300,2800,2600,control
1,47200,0,2200,control
1,18100,0,0,control
1,55200,0,0,control
1,53600,0,0,control
1,31800,0,0,control
1,19800,1600,0,control
1,58900,0,0,control
1,30600,3000,0,control
1,27000,0,0,control
1,32200,2800,4000,control
1,9700,0,1900,control
1,51400,0,0,control
1,9500,0,0,control
1,16700,0,0,control
1,18300,0,3700,control
1,28900,0,0,control
1,36700,2100,0,control
1,27700,0,0,control
1,49800,0,0,control
1,63900,1800,2800,control
1,4500,1800,0,control
1,25400,0,0,control
1,19300,0,0,control
1,4900,1700,0,control
1,6100,0,4000,control
1,13300,1800,0,control
1,21200,2300,2300,control
1,22900,1800,3000,control
1,47200,0,5200,control
1,45600,0,0,control
1,26700,0,0,control
1,13000,0,0,control
1,50300,0,0,control
1,86000,0,0,control
1,60400,0,0,control
1,61900,1000,1800,control
1,33500,0,0,control
1,40500,1600,0,control
1,30400,0,0,control
1,53100,1800,0,control
1,55200,1600,0,control
1,41800,900,0,control
1,64200,800,0,control
1,29000,0,0,control
1,37800,0,0,control
1,41600,2000,4300,control
1,35700,0,0,control
1,44500,2900,0,control
1,36500,0,0,control
1,11500,0,3700,control
1,38000,0,1300,control
1,12200,0,3500,control
1,42800,0,0,control
1,64900,0,3000,control
1,26000,0,4400,control
1,27900,2000,3800,control
1,37300,2500,2900,control
1,28100,1900,0,control
1,80300,900,0,control
1,42500,3200,0,control
1,12700,0,0,control
1,50300,2000,0,control
1,43100,0,0,control
1,27200,2700,0,control
1,31900,0,3500,control
1,14000,3100,0,control
1,79100,1400,0,control
1,31100,0,3400,control
1,41600,0,0,control
1,44800,0,0,control
1,51200,0,0,control
2,24800,0,0,control
2,24300,1200,2900,control
2,18700,2100,0,control
2,70900,0,0,control
2,32100,2300,0,control
2,59900,0,0,control
2,12300,0,0,control
2,49700,0,0,control
2,58500,2000,0,control
2,19600,1100,0,control
2,25000,0,0,control
2,9000,0,4100,control
2,38800,3000,2900,control
2,32300,1700,0,control
2,57300,0,4200,control
2,9100,900,1700,control
2,55500,0,0,control
2,35200,0,1700,control
2,28500,0,0,control
2,33500,0,0,control
2,22000,0,0,control
2,9900,3600,0,control
2,23800,2400,0,control
2,25900,2900,0,control
2,29700,0,0,control
2,38000,0,0,control
2,62100,0,0,control
2,57900,2600,0,control
2,20200,0,0,control
2,9300,0,0,control
2,18200,0,0,control
2,56400,0,0,control
2,28200,2400,0,control
2,66400,2100,0,control
2,5800,2400,0,control
2,20500,0,0,control
2,25500,0,0,control
2,9600,0,0,control
2,50300,2300,0,control
2,63600,2300,0,control
2,70900,3400,1400,control
2,60600,2900,1900,control
2,50000,2300,0,control
2,39200,1900,1600,control
2,62000,0,3000,control
2,27800,2600,2300,control
2,32800,2300,0,control
2,26100,2700,0,control
2,29100,2000,0,control
2,43600,1500,0,control
2,22700,2300,900,control
2,52700,2100,1900,control
2,32300,1900,0,control
2,51200,0,2700,control
2,17500,0,0,control
2,30600,2800,0,control
2,43300,0,0,control
2,73700,0,0,control
2,48300,1000,0,control
2,53500,0,3500,control
2,34600,0,0,control
2,20300,0,0,control
2,13200,1900,3800,control
2,24000,2600,0,control
2,22600,1400,0,control
2,22200,0,0,control
2,43000,0,0,control
2,39300,1500,0,control
2,9400,0,0,control
2,37600,0,0,control
2,51600,0,5000,control
2,81000,0,0,control
2,7300,2400,0,control
2,41700,0,0,control
2,69400,0,0,control
2,41200,0,0,control
2,51900,0,0,control
2,42400,2600,0,control
2,25600,0,0,control
2,27900,0,0,control
2,39300,1700,0,control
2,21500,2400,0,control
2,61200,0,0,control
2,73500,2300,0,control
2,26800,0,2800,control
2,21400,0,0,control
2,65100,0,0,control
2,28600,0,0,control
2,35600,0,2300,control
2,27700,0,3100,control
2,41100,1800,0,control
2,66600,0,0,control
2,18300,0,0,control
2,61600,0,0,control
2,61900,0,0,control
2,66200,0,1400,control
2,15900,0,0,control
2,31900,0,0,control
2,47600,2100,0,control
2,31800,2300,4100,control
2,26800,0,0,control
2,47300,0,0,control
2,40900,0,0,control
2,65600,0,0,control
2,33700,0,0,control
2,14200,2800,2500,control
2,45200,2200,0,control
2,27900,0,0,control
2,16000,0,0,control
2,17800,0,3600,control
2,52100,1900,0,control
2,21200,0,0,control
2,22700,0,3900,control
2,27200,3100,0,control
2,25300,500,0,control
2,46900,0,0,control
2,55100,3000,3000,control
2,69400,2200,0,control
2,19700,0,0,control
2,70600,2200,0,control
2,51000,0,4100,control
2,37600,0,0,control
2,42900,1800,0,control
2,31900,2000,0,control
2,48400,0,0,control
2,8100,2300,0,control
2,29300,0,0,control
2,27400,0,0,control
2,17400,0,0,control
2,50100,0,0,control
2,46500,0,0,control
2,28300,0,0,control
2,34700,0,2100,control
2,31700,0,0,control
2,50500,0,0,control
2,16100,2600,0,control
2,50400,0,0,control
2,33600,2400,0,control
2,68000,0,0,control
2,15300,0,0,control
2,30600,0,0,control
2,59000,2600,3600,control
2,36300,0,0,control
2,4100,0,0,control
2,50200,0,0,control
2,33900,0,0,control
2,25100,3100,0,control
2,45100,2400,0,control
2,43900,2900,2500,control
2,28900,2200,0,control
2,35500,2700,3600,control
2,20900,0,3700,control
2,14800,0,0,control
2,23200,2600,0,control
2,58500,1000,0,control
2,30400,0,0,control
2,45300,0,3800,control
2,58400,0,0,control
2,76700,2400,0,control
2,49900,0,0,control
2,35400,0,2200,control
2,44800,0,0,control
2,40100,2500,0,control
2,38100,2700,0,control
2,26500,1900,0,control
2,100800,0,0,control
2,38700,2900,0,control
2,29700,1500,2900,control
2,32300,2200,0,control
2,76900,0,2100,control
2,38400,0,4700,control
2,50600,0,0,control
2,52200,1800,0,control
2,15700,0,0,control
2,15700,0,3400,control
2,24000,0,0,control
2,44700,0,0,control
2,32800,0,0,control
2,40400,2200,0,control
2,39300,1700,0,control
2,59000,0,0,control
2,44800,0,0,control
2,36300,1500,2600,control
2,62400,0,0,control
2,46300,0,0,control
2,62000,1800,4600,control
2,12600,2000,3300,control
2,50400,0,0,control
2,36200,0,0,control
2,17300,2300,0,control
2,69400,2000,0,control
2,28800,1900,0,control
2,22600,2800,1900,control
2,45700,2800,0,control
2,62400,0,0,control
2,36900,0,0,control
2,35300,0,0,control
2,10000,0,0,control
2,9300,0,0,control
2,51800,0,0,control
2,57800,1300,0,control
2,54300,2900,1400,control
2,20000,1400,4200,control
2,21900,0,4900,control
2,50200,0,0,control
2,57500,0,0,control
2,27000,0,2100,control
2,9200,0,0,control
2,33300,0,2600,control
2,49700,0,0,control
2,25000,2800,0,control
2,64600,0,0,control
2,12400,2100,3600,control
2,43700,0,0,control
2,55100,1900,3100,control
2,13100,0,0,control
2,66400,0,1500,control
2,34600,0,0,control
2,10100,0,0,control
2,11200,2400,0,control
2,35600,0,0,control
2,26000,0,0,control
2,22000,0,0,control
2,64700,0,0,control
2,45000,0,0,control
2,41400,0,4300,control
2,29500,1500,2800,control
2,26800,0,0,control
2,27200,0,0,control
2,19900,0,2200,control
2,28100,0,4300,control
2,50000,2500,0,control
2,20000,0,0,control
2,7200,0,0,control
2,32200,1400,0,control
2,34900,2700,0,control
2,27700,0,0,control
2,6700,2900,0,control
2,37700,1000,0,control
2,31000,0,1700,control
2,38500,1700,0,control
2,29400,0,3800,control
2,49000,1700,0,control
2,44800,1000,1400,control
2,15700,1900,0,control
2,10500,0,0,control
2,36600,2200,3500,control
3,26100,0,0,control
3,20100,1900,0,control
3,17600,0,3100,control
3,27000,0,0,control
3,48200,1700,2400,control
3,37400,0,0,control
3,62800,0,0,control
3,47000,2600,0,control
3,56200,0,0,control
3,54100,1300,0,control
3,54200,0,3500,control
3,58400,1600,4500,control
3,34900,0,0,control
3,42800,0,0,control
3,37200,2300,0,control
3,66800,0,0,control
3,23200,0,0,control
3,17000,2200,0,control
3,15600,2400,2500,control
3,8800,1600,0,control
3,39800,2700,0,control
3,38800,3100,0,control
3,11000,0,0,control
3,58200,0,3200,control
3,48400,1800,2500,control
3,13000,0,0,control
3,33400,1500,3500,control
3,22000,0,0,control
3,43100,3100,3100,control
3,32800,2100,0,control
3,29100,0,0,control
3,23000,1700,0,control
3,16000,2900,0,control
3,38000,0,0,control
3,8500,0,0,control
3,56400,1200,0,control
3,16900,2800,0,control
3,62600,0,0,control
3,9800,0,0,control
3,52300,0,0,control
3,22300,0,0,control
3,9800,0,2800,control
3,59900,0,0,control
3,45900,0,1900,control
3,28400,0,0,control
3,42300,0,0,control
3,37500,0,0,control
3,36800,0,0,control
3,25000,2500,1900,control
3,20200,0,2900,control
3,30700,0,0,control
3,62500,0,3500,control
3,46800,1500,3800,control
3,43300,0,2400,control
3,20200,3300,0,control
3,36800,0,4500,control
3,51000,2300,0,control
3,50100,0,0,control
3,17200,0,0,control
3,35600,0,0,control
3,46400,1900,1700,control
3,30600,0,0,control
3,25300,0,3800,control
3,19000,2200,0,control
3,55800,2000,3900,control
3,76100,0,0,control
3,29100,1900,0,control
3,38500,1500,3700,control
3,67400,0,0,control
3,16100,2300,3700,control
3,46800,2200,3900,control
3,59500,800,0,control
3,59400,1300,0,control
3,60000,0,0,control
3,63900,0,0,control
3,78400,0,0,control
3,22200,1200,0,control
3,37500,1800,0,control
3,20200,0,0,control
3,5400,0,2300,control
3,45000,0,0,control
3,24600,0,0,control
3,51700,2600,0,control
3,12200,0,0,control
3,20400,0,0,control
3,8200,3100,0,control
3,5300,2800,0,control
3,17000,0,3400,control
3,29300,0,0,control
3,43300,2500,0,control
3,6500,0,0,control
3,49400,800,0,control
3,41000,0,0,control
3,27900,0,0,control
3,27700,0,2600,control
3,18300,0,0,control
3,39700,0,0,control
3,18300,0,2200,control
3,25100,0,0,control
3,33400,0,2500,control
3,35000,0,0,control
3,53900,2800,0,control
3,34800,0,0,control
3,16400,2200,0,control
3,53900,1600,0,control
3,34500,0,0,control
3,28300,0,0,control
3,50900,1700,0,control
3,35400,0,0,control
3,52000,0,2800,control
3,40400,0,0,control
3,46600,0,0,control
3,40500,0,0,control
3,19600,0,0,control
3,35300,0,0,control
3,23900,0,0,control
3,49500,0,0,control
3,21000,0,0,control
3,30400,2800,0,control
3,20700,0,0,control
3,44300,0,0,control
3,48500,0,0,control
3,25000,1800,0,control
3,32900,0,0,control
3,32600,0,0,control
3,30400,0,2700,control
3,19200,0,0,control
3,64100,0,3700,control
3,41700,0,0,control
3,40000,0,0,control
3,79000,0,0,control
3,45700,0,1700,control
3,29500,0,0,control
3,56200,0,0,control
3,45500,0,0,control
3,39000,0,0,control
3,50100,0,0,control
3,79000,0,0,control
3,42300,2300,5500,control
3,37800,0,5200,control
3,49200,2400,0,control
3,17200,0,0,control
3,29500,0,0,control
3,47600,2000,0,control
3,34000,0,0,control
3,16100,0,0,control
3,31800,0,0,control
3,20300,0,0,control
3,37400,3400,0,control
3,13700,0,0,control
3,72600,0,0,control
3,25200,2600,0,control
3,44600,2000,0,control
3,18200,2600,0,control
3,28800,0,2400,control
3,52500,0,1700,control
3,61300,0,0,control
3,40200,0,0,control
3,23300,0,0,control
3,60300,0,0,control
3,29400,0,0,control
3,17500,1700,0,control
3,35300,2400,0,control
3,42600,0,3200,control
3,19500,0,3000,control
3,12500,0,0,control
3,68100,0,2700,control
3,38700,0,0,control
3,23900,0,0,control
3,28500,0,3100,control
3,36100,0,0,control
3,81200,0,0,control
3,29700,0,0,control
3,26700,3300,3900,control
3,40900,2900,3900,control
3,35700,0,0,control
3,19300,0,0,control
3,55000,1300,0,control
3,47500,2400,0,control
3,30900,0,0,control
3,42600,1500,0,control
3,38000,0,0,control
3,40300,2400,0,control
3,65100,2100,0,control
3,31600,1700,2200,control
3,45700,1700,0,control
3,51900,0,0,control
3,43000,0,0,control
3,74300,0,0,control
3,54600,0,0,control
3,9800,1000,0,control
3,69700,1900,0,control
3,4500,2600,0,control
3,51400,0,3700,control
3,44300,2300,2200,control
3,20100,0,0,control
3,32300,1500,0,control
3,38300,0,0,control
3,13100,0,0,control
3,34600,0,0,control
3,5300,0,0,control
3,25200,2000,0,control
3,51000,0,5200,control
3,25300,0,0,control
3,54600,0,0,control
3,29500,2400,0,control
3,41100,0,0,control
3,20400,0,2200,control
3,56100,2500,0,control
3,29500,2400,0,control
3,32600,0,0,control
3,43100,1200,3700,control
3,47900,2000,3100,control
3,35900,2200,0,control
3,37500,0,0,control
3,50300,2300,0,control
3,35600,0,0,control
3,44400,0,2600,control
3,19800,0,0,control
3,60700,2700,3800,control
3,45600,2300,0,control
3,13000,0,1700,control
3,64800,0,0,control
3,19300,1700,0,control
3,94800,0,4900,control
3,17400,1700,0,control
3,28300,1400,4000,control
3,44700,0,0,control
3,21400,0,0,control
3,63800,0,0,control
3,29200,1700,0,control
3,80000,2200,3300,control
3,42600,1300,3400,control
3,52100,0,0,control
3,35700,1700,0,control
3,21200,0,0,control
3,63200,0,1800,control
3,47300,3000,3500,control
3,28900,0,0,control
3,67200,1200,0,control
3,27100,0,0,control
3,29900,0,0,control
3,28700,0,0,control
3,62100,2500,0,control
3,10300,0,0,control
3,24500,2300,0,control
3,38800,0,0,control
3,45500,3800,0,control
3,45500,3100,0,control
3,8800,1500,0,control
3,17400,1300,2300,control
4,63800,0,2500,control
4,43700,900,0,control
4,42600,0,0,control
4,67600,0,0,control
4,47700,0,0,control
4,52600,0,2600,control
4,42600,0,0,control
4,19800,0,0,control
4,76600,2200,0,control
4,40900,2600,3400,control
4,47200,1700,0,control
4,14800,2500,3800,control
4,37400,0,2500,control
4,27300,0,0,control
4,52100,0,0,control
4,61500,2000,3100,control
4,5100,2000,0,control
4,61100,0,0,control
4,34600,0,3400,control
4,30900,2100,2000,control
4,10300,0,0,control
4,90100,0,0,control
4,19700,500,0,control
4,69200,0,0,control
4,39900,2500,0,control
4,34000,0,0,control
4,10300,1400,0,control
4,5600,0,0,control
4,35600,2400,0,control
4,25900,1700,0,control
4,35800,1100,0,control
4,71400,0,0,control
4,52900,0,2900,control
4,23000,0,3700,control
4,69900,1900,0,control
4,29900,0,3300,control
4,45000,0,2400,control
4,72300,0,0,control
4,26300,0,0,control
4,41700,1800,3000,control
4,14900,2600,0,control
4,24500,0,0,control
4,32700,0,2700,control
4,68900,2100,2900,control
4,33000,1600,0,control
4,40300,0,0,control
4,23500,1900,2500,control
4,13600,0,0,control
4,52600,0,1800,control
4,45000,0,0,control
4,30100,1900,4100,control
4,35000,0,0,control
4,11400,0,0,control
4,44100,0,3300,control
4,19700,2100,0,control
4,49900,700,0,control
4,31400,0,1500,control
4,5500,0,0,control
4,26900,0,0,control
4,31300,1300,0,control
4,52500,0,0,control
4,7900,0,0,control
4,61900,0,0,control
4,32200,2000,4400,control
4,35000,2800,0,control
4,48900,2400,0,control
4,53800,0,0,control
4,22600,0,0,control
4,11700,0,0,control
4,67300,0,0,control
4,24400,0,0,control
4,43100,0,0,control
4,38600,0,0,control
4,40800,2500,0,control
4,46400,2500,1000,control
4,26800,0,0,control
4,43300,0,0,control
4,53600,1900,0,control
4,12400,2400,0,control
4,5900,2100,0,control
4,49000,0,0,control
4,20200,0,0,control
4,51900,1200,0,control
4,29500,0,0,control
4,42100,2100,0,control
4,48100,2500,0,control
4,18800,2300,3100,control
4,21700,0,0,control
4,24900,1900,0,control
4,15700,0,0,control
4,52100,2100,0,control
4,39400,1100,3400,control
4,48100,0,0,control
4,42700,1800,3400,control
4,11800,0,0,control
4,47700,0,0,control
4,34900,0,3900,control
4,27200,0,0,control
4,55200,2000,1500,control
4,65600,0,0,control
4,77700,0,0,control
4,10600,2600,1600,control
4,45500,0,0,control
4,11300,2600,2800,control
4,28600,0,3500,control
4,39000,1400,0,control
4,21200,1500,0,control
4,22100,1600,2800,control
4,10100,0,0,control
4,65900,1100,0,control
4,45800,2000,0,control
4,46800,2200,3600,control
4,44800,0,0,control
4,4300,0,3300,control
4,51400,2000,0,control
4,28400,2300,0,control
4,51400,0,0,control
4,56200,0,0,control
4,32700,0,3500,control
4,25700,0,3600,control
4,32500,2100,0,control
4,25600,0,0,control
4,37400,0,0,control
4,23900,0,0,control
4,23600,1600,0,control
4,21700,0,0,control
4,12900,0,1700,control
4,17000,3000,0,control
4,26200,1500,0,control
4,51700,0,0,control
4,44300,0,3700,control
4,16600,0,0,control
4,48900,1600,2000,control
4,41000,1300,0,control
4,25400,0,0,control
4,48800,0,0,control
4,47900,2000,1800,control
4,30600,0,0,control
4,35100,0,0,control
4,50200,0,0,control
4,33400,0,0,control
4,53600,0,0,control
4,47900,2600,0,control
4,20300,1500,0,control
4,36000,1200,4300,control
4,19200,0,0,control
4,23400,0,0,control
4,39900,0,0,control
4,62800,2800,3200,control
4,41000,0,0,control
4,37300,1900,0,control
4,47000,0,2500,control
4,13900,0,0,control
4,54100,1600,0,control
4,18800,0,0,control
4,68200,0,3800,control
4,40300,2500,0,control
4,72100,0,0,control
4,69800,1600,2700,control
4,39900,0,0,control
4,50500,2000,0,control
4,20400,0,0,control
4,6500,2200,0,control
4,11800,0,0,control
4,48100,2400,1300,control
4,36400,2800,0,control
4,16100,0,0,control
4,67700,0,2700,control
4,27100,0,0,control
4,51400,2100,0,control
4,48500,2000,0,control
4,32200,0,0,control
4,30200,0,0,control
4,27200,0,0,control
4,47100,0,0,control
4,43700,0,0,control
4,13100,0,0,control
4,26000,0,2100,control
4,18800,0,0,control
4,23600,0,0,control
4,25700,0,0,control
4,33900,0,0,control
4,37500,0,0,control
4,34300,0,0,control
4,36700,0,0,control
4,19100,2700,0,control
4,34500,1800,0,control
4,38800,1800,0,control
4,76000,0,3200,control
4,29300,0,0,control
4,53700,0,0,control
4,83500,1400,0,control
4,66000,0,0,control
4,43800,2300,0,control
4,45600,0,3600,control
4,51200,1800,0,control
4,35600,1300,2500,control
4,39200,0,0,control
4,14100,0,3500,control
4,23800,0,0,control
4,44500,1300,0,control
4,37900,2400,2900,control
4,86100,0,0,control
4,16800,0,0,control
4,61900,0,0,control
4,30100,0,0,control
4,40600,1800,0,control
4,47800,0,0,control
4,25100,0,3000,control
4,58600,0,4500,control
4,60400,1800,3200,control
4,27900,0,0,control
4,32500,1200,4300,control
4,59300,0,0,control
4,56900,0,0,control
4,22800,0,0,control
4,22500,2700,0,control
4,5800,1900,0,control
4,11400,1800,4500,control
4,5800,0,0,control
4,52800,0,2700,control
4,21700,0,3800,control
4,40700,2200,0,control
4,32600,2800,0,control
4,13900,0,0,control
4,74000,0,0,control
4,69100,0,2200,control
4,17700,2700,3800,control
4,17200,3000,4200,control
4,55300,1900,0,control
4,30100,1000,0,control
4,63600,0,0,control
4,26200,0,2800,control
4,5500,0,4600,control
4,49500,0,0,control
4,32600,1900,0,control
4,47400,0,0,control
4,54600,2700,0,control
4,30500,0,0,control
4,39400,1600,0,control
4,35500,0,3900,control
4,15900,0,0,control
4,25000,2600,0,control
4,33300,0,0,control
4,56200,2000,0,control
5,57000,0,0,control
5,18600,0,0,control
5,62100,0,0,control
5,63900,0,2600,control
5,28100,1800,0,control
5,62400,2300,3000,control
5,30000,1800,0,control
5,58700,0,0,control
5,44000,2300,0,control
5,34800,0,0,control
5,16000,2100,0,control
5,59500,0,0,control
5,53800,2000,0,control
5,42600,3300,0,control
5,33400,0,0,control
5,9700,0,1700,control
5,17800,1100,0,control
5,32200,0,0,control
5,26500,2000,0,control
5,37800,0,0,control
5,4400,0,0,control
5,19800,0,0,control
5,37200,2000,0,control
5,51700,1900,0,control
5,50300,0,0,control
5,25000,0,0,control
5,32300,1500,0,control
5,32300,0,0,control
5,49000,0,0,control
5,36200,0,2800,control
5,43500,2700,0,control
5,32800,1600,0,control
5,13100,0,0,control
5,29400,1400,0,control
5,33600,1500,0,control
5,42700,0,3800,control
5,34700,2400,0,control
5,60600,2200,0,control
5,68500,1200,0,control
5,15500,2000,0,control
5,22500,0,0,control
5,57500,0,4200,control
5,92700,0,0,control
5,79800,2200,0,control
5,51400,1900,0,control
5,71600,0,0,control
5,10700,0,2100,control
5,34900,2600,0,control
5,35500,2500,0,control
5,14800,0,0,control
5,39800,3600,0,control
5,53800,0,3700,control
5,38800,0,4100,control
5,47900,2900,0,control
5,36900,0,0,control
5,28900,0,0,control
5,35100,0,3400,control
5,22200,0,3300,control
5,24100,0,2200,control
5,13500,2200,0,control
5,36400,0,0,control
5,29100,1900,0,control
5,44300,2400,3800,control
5,52600,0,0,control
5,13800,2000,0,control
5,55000,0,0,control
5,18800,2000,0,control
5,52300,0,3600,control
5,26800,0,1500,control
5,5300,2200,0,control
5,22100,2700,0,control
5,32200,0,2600,control
5,28200,0,1400,control
5,43900,0,0,control
5,29800,0,0,control
5,46500,0,0,control
5,29400,0,0,control
5,47300,2700,0,control
5,13900,3300,1500,control
5,31400,1900,0,control
5,60200,0,0,control
5,35100,0,0,control
5,58900,1800,1400,control
5,35900,2600,0,control
5,41300,0,0,control
5,62900,0,0,control
5,43400,0,0,control
5,40600,0,3400,control
5,49000,0,0,control
5,42700,0,0,control
5,15100,2300,0,control
5,20600,0,0,control
5,72400,0,3000,control
5,18500,0,0,control
5,18700,2000,3800,control
5,22500,2300,0,control
5,41400,0,0,control
5,12600,0,0,control
5,49200,1700,0,control
5,10000,1000,0,control
5,32300,1400,0,control
5,17400,2900,0,control
5,25900,2000,0,control
5,16100,0,3000,control
5,35000,1700,0,control
5,10600,0,0,control
5,19500,0,0,control
5,35900,2600,2100,control
5,48200,0,0,control
5,32200,2700,4300,control
5,14200,2700,0,control
5,62200,0,0,control
5,52900,0,0,control
5,16200,2200,0,control
5,46100,0,0,control
5,34000,0,0,control
5,17000,2200,0,control
5,46100,2800,0,control
5,11100,0,0,control
5,31500,2200,0,control
5,24700,900,0,control
5,59500,0,0,control
5,54000,2900,1900,control
5,38200,0,0,control
5,31900,1700,0,control
5,43800,0,0,control
5,34600,0,0,control
5,27700,0,0,control
5,30600,0,0,control
5,24500,0,0,control
5,6700,0,0,control
5,32200,0,0,control
5,33200,0,0,control
5,33100,0,0,control
5,52800,0,0,control
5,49500,0,0,control
5,6600,0,0,control
5,60100,0,3900,control
5,72200,0,0,control
5,63100,0,0,control
5,65100,800,0,control
5,12900,1800,2700,control
5,40300,0,2100,control
5,52300,0,0,control
5,40500,0,1800,control
5,35700,0,0,control
5,59400,0,0,control
5,49400,0,0,control
5,57000,0,0,control
5,31900,0,0,control
5,21600,0,0,control
5,54200,0,0,control
5,4900,2600,3300,control
5,68900,0,700,control
5,17200,0,0,control
5,38900,0,0,control
5,48400,0,3500,control
5,54700,0,1300,control
5,27500,1300,2900,control
5,22100,0,0,control
5,6100,1700,2000,control
5,41400,0,0,control
5,50200,0,0,control
5,13500,0,3000,control
5,19100,0,2900,control
5,43800,1800,0,control
5,30100,0,0,control
5,71600,1800,0,control
5,50600,0,0,control
5,9500,0,0,control
5,60400,3200,0,control
5,55600,0,0,control
5,6600,2900,0,control
5,49300,2100,0,control
5,31200,2100,2400,control
5,41900,0,0,control
5,56400,0,3800,control
5,35400,0,3900,control
5,56400,0,0,control
5,19300,0,0,control
5,58300,0,3100,control
5,35900,0,0,control
5,32000,0,0,control
5,48400,0,0,control
5,20300,1500,0,control
5,9600,0,0,control
5,27000,0,5200,control
5,31500,0,0,control
5,32700,0,0,control
5,44700,0,0,control
5,65100,0,0,control
5,15100,0,0,control
5,30700,0,0,control
5,7400,0,0,control
5,74800,1400,2700,control
5,12500,1500,0,control
5,12400,0,0,control
5,32900,0,0,control
5,35400,2500,0,control
5,9400,2500,0,control
5,62800,2500,2200,control
5,29500,0,0,control
5,18800,0,0,control
5,7600,0,0,control
5,30200,3200,0,control
5,16800,0,1900,control
5,29500,0,0,control
5,55600,0,0,control
6,37900,2200,4800,control
6,28600,2300,4100,control
6,35600,0,2600,control
6,37000,3100,0,control
6,8900,2600,0,control
6,52900,0,0,control
6,25500,0,3300,control
6,16500,2500,2900,control
6,13300,0,0,control
6,43000,1500,3500,control
6,28000,2500,0,control
6,70500,0,0,control
6,41300,1700,0,control
6,62600,0,3200,control
6,44400,0,0,control
6,17400,2000,0,control
6,17300,0,2500,control
6,55700,2000,0,control
6,4500,2000,0,control
6,70300,2900,0,control
6,36200,0,2600,control
6,50700,0,0,control
6,16700,1600,0,control
6,11200,2100,0,control
6,17200,0,3800,control
